,index,label,area,perimeter,centroid-0,centroid-1,slice,image,filled_image,filled_area,major_axis_length,minor_axis_length,euler_number,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,solidity,eccentricity,extent
0,0,1070,277869,5784.831924123824,842.7341193152168,1768.5665079587864,"(slice(464, 1205, None), slice(1517, 2014, None))","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",339862,875.3888267496051,564.7280924322502,-92,47894.09987487813,19932.3636488855,0.8030895953757226,0.7640839188959729,0.7545108708933764
1,1,2719,285228,5339.334449440767,2285.7985927047835,611.381435202715,"(slice(2021, 2547, None), slice(234, 980, None))","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",328780,841.2479868714568,550.5358035101387,-41,44231.135963454915,18943.10443415963,0.8540604311204401,0.7561247702068863,0.7268881436100266
2,2,2726,310721,4777.570993473476,2339.9265192890084,2861.865686580566,"(slice(2089, 2593, None), slice(2490, 3235, None))","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",339121,841.8610291029476,544.421647966687,-24,44295.62452014212,18524.683173422705,0.9038551602365514,0.7627544089648077,0.827530094811974
3,3,2957,242172,4552.15764646288,3582.608191698462,1776.931697306047,"(slice(3213, 3943, None), slice(1482, 1976, None))","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",260713,837.6340193860368,433.66528477099126,-42,43851.92190205047,11754.09870096906,0.821361949790057,0.8555462150241979,0.6715434529421552
4,0,1043,290856,7228.824960917638,796.5224716010672,1775.1992016668041,"(slice(425, 1164, None), slice(1523, 2027, None))","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",335427,861.4151829486017,556.7280512659911,-224,46377.2573383983,19371.63269165175,0.8584913178610326,0.7630879272537294,0.7809137186674399
5,2,2533,305346,4496.825648000666,2283.6452876409057,2852.9080125496976,"(slice(2042, 2526, None), slice(2490, 3216, None))","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",332294,830.1473556252354,541.3195444332001,-25,43071.53950322318,18314.178074085456,0.913015007310794,0.7581532149805263,0.8689809439245954
6,3,2681,293840,4594.006455591909,2476.658293629186,729.7956745167438,"(slice(2232, 2717, None), slice(368, 1084, None))","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",321386,816.7879191429953,534.417789370013,-36,41696.40655362151,17850.148349695723,0.905446421693244,0.7562420232147747,0.8461671370154927
7,4,2766,277051,7606.240220500536,3670.384023158191,1691.4329672154224,"(slice(3315, 4038, None), slice(1448, 1936, None))","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",321585,824.7503456273968,540.5424171972586,-204,42513.3207882819,18261.63154934095,0.8496620378321352,0.7552808656560008,0.785238532526132
8,1,2146,291108,5393.097905408056,796.15469172953,1713.5262308146805,"(slice(429, 1163, None), slice(1466, 1961, None))","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",335073,857.38634660004,562.1167106694492,-141,45944.45920851025,19748.44977586508,0.8611439795531995,0.7550939612279293,0.8012220295599042
9,5,14517,286046,4204.804399444605,2556.554515707264,2897.6934583948037,"(slice(2300, 2813, None), slice(2528, 3267, None))","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",330647,849.2752781077909,556.2902138626401,-15,45079.2811253166,19341.17512745887,0.8587391173821676,0.7556136620184525,0.7545257671317068
